epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0825,1.69439,2.64935,1.81379,0.04083,0.98,0.59767,0.38045,1.2025,2.58358,1.35365,0.0001,0.0001,0.0001
2,21.4588,1.36796,2.26521,1.57259,0.04167,1,0.64064,0.39531,1.17359,2.5123,1.32782,0.000217822,0.000217822,0.000217822
3,32.0476,1.33456,1.84016,1.50383,0.90132,0.54821,0.70259,0.43863,1.23589,2.25067,1.3109,0.000333268,0.000333268,0.000333268
4,42.3123,1.32525,1.40034,1.53611,0.8884,0.31849,0.76553,0.48792,1.1636,2.13775,1.25126,0.000446338,0.000446338,0.000446338
5,52.2439,1.33677,1.22185,1.52568,0.93127,0.54206,0.87598,0.54098,1.34136,2.09674,1.36405,0.000557032,0.000557032,0.000557032
6,62.2762,1.26823,1.17391,1.44952,0.85133,0.68,0.87637,0.50428,1.47625,1.77348,1.45314,0.00066535,0.00066535,0.00066535
7,72.3071,1.26702,1.12272,1.46572,0.89777,0.76,0.91069,0.58662,1.2431,1.15086,1.37686,0.000771292,0.000771292,0.000771292
8,82.0828,1.23096,1.07334,1.48625,0.81293,0.86923,0.91485,0.54956,1.32501,1.1376,1.43289,0.000874858,0.000874858,0.000874858
9,92.1683,1.22875,1.00284,1.39646,0.77808,0.86,0.90558,0.56041,1.26819,1.13213,1.3612,0.000976048,0.000976048,0.000976048
10,101.921,1.29933,1.08011,1.5089,0.85453,0.84,0.91681,0.55785,1.28519,1.08449,1.35441,0.00107486,0.00107486,0.00107486
11,111.498,1.21985,1.03552,1.46875,0.77327,0.88684,0.88444,0.51938,1.29854,1.12169,1.36251,0.0011713,0.0011713,0.0011713
12,121.167,1.2386,1.08737,1.45175,0.81748,0.88,0.88964,0.53741,1.24999,1.0492,1.34459,0.00126536,0.00126536,0.00126536
13,130.695,1.20403,1.01872,1.43047,0.83638,0.92011,0.91702,0.59284,1.25526,0.96489,1.37518,0.00135705,0.00135705,0.00135705
14,140.1,1.19957,0.99155,1.47599,0.8725,0.88,0.90462,0.60423,1.21978,1.01747,1.34247,0.00144636,0.00144636,0.00144636
15,149.709,1.2059,1.05507,1.44212,0.8725,0.88,0.90462,0.60423,1.21978,1.01747,1.34247,0.00153329,0.00153329,0.00153329
16,159.094,1.19595,0.99492,1.42411,0.88049,0.88418,0.91168,0.56772,1.2825,1.08428,1.37887,0.00161785,0.00161785,0.00161785
17,168.589,1.18802,0.9928,1.38873,0.83577,0.9,0.90833,0.57929,1.24533,1.02396,1.34399,0.0016832,0.0016832,0.0016832
18,177.929,1.16146,1.00056,1.41707,0.83304,0.89813,0.90627,0.57479,1.2107,1.0362,1.30904,0.0016634,0.0016634,0.0016634
19,187.398,1.14545,0.95178,1.41629,0.83304,0.89813,0.90627,0.57479,1.2107,1.0362,1.30904,0.0016436,0.0016436,0.0016436
20,196.91,1.1161,0.90911,1.34155,0.81635,0.88,0.90016,0.5871,1.20583,1.07901,1.29698,0.0016238,0.0016238,0.0016238
21,206.399,1.10196,0.90141,1.35899,0.91077,0.92,0.933,0.57251,1.29502,1.21325,1.40547,0.001604,0.001604,0.001604
22,215.949,1.10618,0.88557,1.34873,0.92145,0.93844,0.93454,0.60263,1.23664,1.15534,1.35569,0.0015842,0.0015842,0.0015842
23,225.48,1.09073,0.86168,1.35627,0.92145,0.93844,0.93454,0.60263,1.23664,1.15534,1.35569,0.0015644,0.0015644,0.0015644
24,234.915,1.0399,0.85068,1.31511,0.91627,0.88,0.93425,0.59042,1.25814,1.00298,1.3758,0.0015446,0.0015446,0.0015446
25,244.61,1.12611,0.92916,1.39842,0.89263,0.84,0.90744,0.50859,1.47279,1.07199,1.50572,0.0015248,0.0015248,0.0015248
26,254.012,1.11952,0.88269,1.32954,0.79661,0.84,0.8621,0.55592,1.34215,1.10167,1.40439,0.001505,0.001505,0.001505
27,263.477,1.06018,0.88658,1.31933,0.79661,0.84,0.8621,0.55592,1.34215,1.10167,1.40439,0.0014852,0.0014852,0.0014852
28,273.146,1.10235,0.89638,1.30662,0.78729,0.81437,0.83877,0.5356,1.36226,1.14681,1.42398,0.0014654,0.0014654,0.0014654
29,282.707,1.10506,0.8693,1.3495,0.80924,0.84853,0.8809,0.561,1.27412,1.11711,1.35497,0.0014456,0.0014456,0.0014456
30,292.181,1.10059,0.8446,1.29431,0.82076,0.94,0.9094,0.57104,1.22001,1.08948,1.35772,0.0014258,0.0014258,0.0014258
31,301.744,1.05184,0.80582,1.29027,0.82076,0.94,0.9094,0.57104,1.22001,1.08948,1.35772,0.001406,0.001406,0.001406
32,311.032,1.05029,0.83424,1.31882,0.89677,0.96,0.92628,0.58278,1.25538,1.04039,1.38619,0.0013862,0.0013862,0.0013862
